                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2906,                 1.9369,                 1.1396,                 0.9794,                0.58984,                0.90801,                 0.5633,                    nan,                    nan,                    nan,             0.00055047,             0.00055047,             0.00055047
                      2,                 1.2459,                 1.3113,                 1.1404,                0.89576,                0.86263,                0.92767,                0.59733,                    nan,                    nan,                    nan,              0.0010952,              0.0010952,              0.0010952
                      3,                 1.2565,                 1.2236,                 1.1826,                0.90384,                0.88574,                0.93924,                0.60939,                    nan,                    nan,                    nan,              0.0016289,              0.0016289,              0.0016289
                      4,                 1.2598,                 1.1173,                 1.1851,                0.91234,                0.90645,                0.95272,                 0.6093,                    nan,                    nan,                    nan,              0.0016175,              0.0016175,              0.0016175
                      5,                   1.23,                 1.0001,                 1.1819,                0.95302,                0.87516,                0.96693,                0.65164,                    nan,                    nan,                    nan,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.2069,                0.93637,                 1.1769,                0.96337,                0.92876,                0.97394,                0.66518,                    nan,                    nan,                    nan,               0.001601,               0.001601,               0.001601
                      7,                 1.1832,                0.88055,                 1.1567,                0.98175,                0.95445,                  0.982,                0.68489,                    nan,                    nan,                    nan,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.1275,                0.81214,                 1.1435,                0.98811,                0.96575,                0.98423,                0.68427,                    nan,                    nan,                    nan,               0.001568,               0.001568,               0.001568
                      9,                  1.161,                0.79989,                  1.144,                0.99085,                0.96674,                0.98416,                0.70327,                    nan,                    nan,                    nan,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.1493,                0.77197,                  1.141,                0.97457,                0.96558,                0.98324,                0.68459,                    nan,                    nan,                    nan,               0.001535,               0.001535,               0.001535
                     11,                 1.1281,                0.73551,                 1.1397,                 0.9831,                0.97615,                0.98755,                0.69635,                    nan,                    nan,                    nan,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.1152,                0.73438,                 1.1462,                0.96345,                0.96038,                0.97995,                 0.6742,                    nan,                    nan,                    nan,               0.001502,               0.001502,               0.001502
