                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8338,                 6.9751,                 1.1516,                0.55701,                0.44048,                0.40405,                0.13665,                    nan,                    nan,                    nan,             0.00066373,             0.00066373,             0.00066373
                      2,                 2.6667,                 3.6708,                 1.0882,                0.77795,                0.45878,                0.48814,                0.18131,                    nan,                    nan,                    nan,              0.0013172,              0.0013172,              0.0013172
                      3,                  2.597,                 2.5392,                 1.0654,                0.54684,                0.52381,                0.46845,                0.13842,                    nan,                    nan,                    nan,              0.0019575,              0.0019575,              0.0019575
                      4,                 2.5677,                 2.2913,                 1.0626,                0.64545,                0.54762,                0.52809,                0.17835,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.5196,                 2.1441,                 1.0572,                0.63814,                0.53571,                0.54297,                0.16778,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.4622,                  1.936,                 1.0577,                0.57359,                0.42857,                0.44429,                0.15338,                    nan,                    nan,                    nan,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.4581,                 1.8931,                 1.0411,                0.62954,                0.49405,                 0.5206,                0.17875,                    nan,                    nan,                    nan,               0.001901,               0.001901,               0.001901
                      8,                 2.3783,                 1.8278,                 1.0385,                0.78821,                0.57738,                0.63219,                0.22522,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      9,                  2.391,                 1.7253,                 1.0349,                0.76094,                0.54762,                0.62699,                0.23128,                    nan,                    nan,                    nan,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.3146,                 1.6401,                 1.0205,                0.80649,                0.66667,                0.69875,                0.26549,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.3079,                 1.6494,                 1.0208,                0.82677,                0.60119,                0.67877,                0.27569,                    nan,                    nan,                    nan,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.2974,                 1.6078,                 1.0202,                0.75975,                0.64286,                0.65421,                 0.2331,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                     13,                 2.2608,                 1.5494,                 1.0129,                0.73527,                0.69436,                0.67776,                0.26009,                    nan,                    nan,                    nan,              0.0017822,              0.0017822,              0.0017822
                     14,                  2.239,                 1.5258,                 1.0091,                0.77586,                0.69048,                 0.7222,                0.27609,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.2058,                 1.4935,                 1.0001,                0.74042,                 0.6282,                0.64552,                0.23224,                    nan,                    nan,                    nan,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.1709,                 1.4585,                0.99845,                 0.8423,                0.60409,                0.65899,                0.24522,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.1659,                 1.4418,                0.98996,                0.84094,                   0.75,                0.78475,                0.30738,                    nan,                    nan,                    nan,               0.001703,               0.001703,               0.001703
                     18,                 2.1538,                 1.4544,                0.97641,                0.79295,                0.60714,                0.63636,                0.22525,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.1635,                 1.4805,                0.98266,                0.88034,                0.72619,                0.78466,                0.27966,                    nan,                    nan,                    nan,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.0883,                 1.3615,                0.98202,                0.84946,                0.70535,                0.73515,                0.28973,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.0854,                 1.3344,                0.98555,                0.87946,                0.69489,                0.77948,                0.30061,                    nan,                    nan,                    nan,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.0713,                 1.3018,                0.98535,                0.81911,                0.67262,                0.72013,                0.29369,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                     23,                 2.0962,                 1.3145,                0.98247,                0.79885,                0.73284,                 0.7326,                0.28473,                    nan,                    nan,                    nan,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.0706,                 1.3321,                0.96246,                0.85085,                 0.7381,                0.78742,                0.30417,                    nan,                    nan,                    nan,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.0749,                 1.2734,                0.96247,                0.79635,                0.77381,                0.81181,                0.32151,                    nan,                    nan,                    nan,              0.0015446,              0.0015446,              0.0015446
